Fruit,FeedbackText,Freshness,Price,Quality,Service,Rating,Satisfaction
Guava,Best fruit store I have visited.,9,8,8,8,4,Satisfied
Strawberry,Overpriced and not worth it.,2,4,4,4,1,Unsatisfied
Pineapple,The fruit was not fresh.,1,1,2,3,2,Unsatisfied
Orange,Amazing experience buying fruits here.,8,7,9,7,5,Satisfied
Papaya,The fruit was fresh and delicious.,9,7,9,7,4,Satisfied
Guava,Impressed by the cleanliness and quality.,9,8,8,9,5,Satisfied
Watermelon,Loved the taste and quality!,9,8,9,9,5,Satisfied
Watermelon,Disappointed with the quality.,1,5,1,2,1,Unsatisfied
Pineapple,Amazing experience buying fruits here.,9,7,8,9,4,Satisfied
Orange,Amazing experience buying fruits here.,9,9,9,7,5,Satisfied
Papaya,Great service and price.,8,8,9,9,5,Satisfied
Apple,Too expensive for the quality provided.,3,2,2,1,2,Unsatisfied
Orange,Too expensive for the quality provided.,1,3,5,5,2,Unsatisfied
Pineapple,Bad service and unripe fruit.,5,5,5,3,1,Unsatisfied
Papaya,Excellent freshness and timely delivery.,9,7,8,7,4,Satisfied
Mango,Disappointed with the quality.,2,1,4,3,2,Unsatisfied
Apple,Overpriced and not worth it.,3,4,4,4,1,Unsatisfied
Mango,Very bad experience overall.,2,5,3,5,1,Unsatisfied
Banana,The fruit was not fresh.,4,2,1,2,1,Unsatisfied
Pineapple,Always fresh and reasonably priced.,9,9,9,9,4,Satisfied
Strawberry,Disappointed with the quality.,4,1,4,1,1,Unsatisfied
Watermelon,Excellent freshness and timely delivery.,9,7,8,7,4,Satisfied
Guava,Too expensive for the quality provided.,1,2,2,5,1,Unsatisfied
Watermelon,The fruit was not fresh.,1,3,5,1,1,Unsatisfied
Strawberry,Excellent freshness and timely delivery.,9,8,8,7,5,Satisfied
Orange,Delivery was delayed and fruits were spoiled.,1,5,3,5,1,Unsatisfied
Guava,The fruit was not fresh.,5,3,5,1,1,Unsatisfied
Watermelon,Always fresh and reasonably priced.,8,9,9,8,4,Satisfied
Watermelon,Excellent freshness and timely delivery.,9,8,8,9,4,Satisfied
Pineapple,Bad service and unripe fruit.,2,2,5,2,2,Unsatisfied
Banana,Quality and packaging were top-notch.,9,8,8,8,5,Satisfied
Guava,Very bad experience overall.,4,1,1,5,1,Unsatisfied
Apple,Will not recommend this shop.,4,3,3,4,1,Unsatisfied
Papaya,The fruit was fresh and delicious.,8,9,8,9,5,Satisfied
Guava,Bad service and unripe fruit.,2,4,5,5,1,Unsatisfied
Apple,Overpriced and not worth it.,3,2,1,3,2,Unsatisfied
Guava,Will not recommend this shop.,4,5,2,5,2,Unsatisfied
Orange,Loved the taste and quality!,8,9,9,9,5,Satisfied
Pineapple,Loved the taste and quality!,9,8,9,7,5,Satisfied
Watermelon,Very juicy and sweet fruit.,9,7,9,9,4,Satisfied
Papaya,Delivery was delayed and fruits were spoiled.,3,1,5,2,2,Unsatisfied
Grapes,Quality and packaging were top-notch.,8,9,8,8,4,Satisfied
Papaya,Amazing experience buying fruits here.,8,9,9,8,5,Satisfied
Banana,Too expensive for the quality provided.,2,2,5,5,1,Unsatisfied
Apple,Excellent freshness and timely delivery.,8,8,8,8,4,Satisfied
Apple,Impressed by the cleanliness and quality.,8,7,9,8,5,Satisfied
Strawberry,Loved the taste and quality!,9,7,9,7,4,Satisfied
Pineapple,Impressed by the cleanliness and quality.,9,8,9,9,5,Satisfied
Apple,Very bad experience overall.,2,1,5,2,2,Unsatisfied
Guava,Impressed by the cleanliness and quality.,9,9,8,9,5,Satisfied
Papaya,Quality and packaging were top-notch.,8,9,8,9,5,Satisfied
Orange,Delivery was delayed and fruits were spoiled.,1,1,3,5,2,Unsatisfied
Papaya,Great service and price.,9,8,8,8,4,Satisfied
Banana,The fruit was not fresh.,4,3,5,3,2,Unsatisfied
Banana,Very juicy and sweet fruit.,8,7,9,9,5,Satisfied
Guava,Very bad experience overall.,1,2,1,3,1,Unsatisfied
Orange,Taste was not good at all.,1,2,3,5,1,Unsatisfied
Pineapple,Impressed by the cleanliness and quality.,8,9,9,9,5,Satisfied
Watermelon,Great service and price.,8,8,8,9,4,Satisfied
Papaya,Delivery was delayed and fruits were spoiled.,2,2,1,2,2,Unsatisfied
Strawberry,Always fresh and reasonably priced.,8,9,8,7,5,Satisfied
Guava,Great service and price.,8,8,9,9,4,Satisfied
Papaya,Will not recommend this shop.,3,5,5,5,1,Unsatisfied
Watermelon,Too expensive for the quality provided.,1,2,4,1,2,Unsatisfied
Mango,Poor freshness and packaging.,2,3,3,1,1,Unsatisfied
Mango,Taste was not good at all.,2,3,5,3,2,Unsatisfied
Guava,Bad service and unripe fruit.,1,4,3,2,2,Unsatisfied
Banana,Disappointed with the quality.,4,5,4,2,2,Unsatisfied
Strawberry,The fruit was not fresh.,3,3,3,4,2,Unsatisfied
Papaya,Impressed by the cleanliness and quality.,8,8,8,7,4,Satisfied
Guava,Best fruit store I have visited.,8,7,9,7,5,Satisfied
Mango,Overpriced and not worth it.,5,2,4,4,2,Unsatisfied
Guava,Too expensive for the quality provided.,5,4,5,2,1,Unsatisfied
Mango,Will not recommend this shop.,5,4,4,5,1,Unsatisfied
Banana,Too expensive for the quality provided.,5,3,4,4,1,Unsatisfied
Banana,The fruit was not fresh.,5,2,5,5,1,Unsatisfied
Orange,Taste was not good at all.,4,5,4,1,2,Unsatisfied
Pineapple,Very bad experience overall.,4,2,2,5,2,Unsatisfied
Mango,Delivery was delayed and fruits were spoiled.,4,5,3,2,1,Unsatisfied
Orange,Impressed by the cleanliness and quality.,8,8,9,7,5,Satisfied
Strawberry,Very juicy and sweet fruit.,9,9,9,7,4,Satisfied
Guava,Best fruit store I have visited.,8,9,9,8,5,Satisfied
Guava,Very juicy and sweet fruit.,8,9,8,7,5,Satisfied
Apple,Great service and price.,9,8,9,7,5,Satisfied
Orange,Great service and price.,8,8,8,7,5,Satisfied
Banana,Excellent freshness and timely delivery.,9,7,9,8,4,Satisfied
Orange,Overpriced and not worth it.,2,1,2,4,1,Unsatisfied
Orange,Delivery was delayed and fruits were spoiled.,2,3,1,5,1,Unsatisfied
Apple,Taste was not good at all.,3,5,2,3,2,Unsatisfied
Apple,Quality and packaging were top-notch.,9,8,9,7,5,Satisfied
Pineapple,Excellent freshness and timely delivery.,9,8,8,7,4,Satisfied
Watermelon,Too expensive for the quality provided.,3,1,3,5,2,Unsatisfied
Papaya,Excellent freshness and timely delivery.,8,8,8,8,5,Satisfied
Pineapple,Will not recommend this shop.,1,1,3,4,2,Unsatisfied
Pineapple,Too expensive for the quality provided.,1,4,5,2,1,Unsatisfied
Papaya,Quality and packaging were top-notch.,9,8,9,9,5,Satisfied
Banana,Will not recommend this shop.,3,2,3,3,1,Unsatisfied
Strawberry,Very bad experience overall.,3,4,3,2,1,Unsatisfied
Guava,Delivery was delayed and fruits were spoiled.,1,2,1,2,2,Unsatisfied
Orange,Best fruit store I have visited.,9,8,9,8,5,Satisfied
Guava,Impressed by the cleanliness and quality.,8,7,9,8,5,Satisfied
Papaya,The fruit was not fresh.,1,5,1,2,1,Unsatisfied
Grapes,Amazing experience buying fruits here.,8,8,9,7,5,Satisfied
Watermelon,Will not recommend this shop.,1,4,2,3,1,Unsatisfied
Watermelon,Delivery was delayed and fruits were spoiled.,1,2,2,1,2,Unsatisfied
Strawberry,Very juicy and sweet fruit.,9,7,9,8,4,Satisfied
Banana,Very bad experience overall.,2,1,2,4,1,Unsatisfied
Banana,The fruit was fresh and delicious.,9,8,8,9,5,Satisfied
Mango,Disappointed with the quality.,4,3,2,1,2,Unsatisfied
Pineapple,Will not recommend this shop.,2,5,4,5,2,Unsatisfied
Banana,Very juicy and sweet fruit.,9,7,8,7,5,Satisfied
Guava,Very bad experience overall.,5,2,2,2,2,Unsatisfied
Papaya,Impressed by the cleanliness and quality.,9,8,9,7,5,Satisfied
Mango,Very juicy and sweet fruit.,9,8,8,7,5,Satisfied
Banana,Too expensive for the quality provided.,1,1,5,4,2,Unsatisfied
Apple,Disappointed with the quality.,2,3,5,3,2,Unsatisfied
Mango,Too expensive for the quality provided.,3,5,4,5,2,Unsatisfied
Grapes,Bad service and unripe fruit.,3,4,1,5,1,Unsatisfied
Apple,Overpriced and not worth it.,5,4,1,1,2,Unsatisfied
Strawberry,Disappointed with the quality.,4,2,5,5,1,Unsatisfied
Grapes,Very bad experience overall.,4,3,3,1,1,Unsatisfied
Grapes,Excellent freshness and timely delivery.,8,9,8,9,5,Satisfied
Orange,The fruit was not fresh.,5,3,4,3,1,Unsatisfied
Orange,Impressed by the cleanliness and quality.,8,7,9,9,4,Satisfied
Banana,Excellent freshness and timely delivery.,8,8,9,7,4,Satisfied
Apple,Taste was not good at all.,4,3,1,1,2,Unsatisfied
Banana,Great service and price.,9,9,9,9,4,Satisfied
Banana,Taste was not good at all.,3,5,2,3,2,Unsatisfied
Guava,Very juicy and sweet fruit.,9,9,8,9,5,Satisfied
Banana,Poor freshness and packaging.,5,1,1,2,1,Unsatisfied
Papaya,Poor freshness and packaging.,4,5,3,1,1,Unsatisfied
Guava,Taste was not good at all.,4,3,5,3,2,Unsatisfied
Apple,Amazing experience buying fruits here.,9,7,9,7,4,Satisfied
Guava,Poor freshness and packaging.,4,3,3,3,1,Unsatisfied
Grapes,Bad service and unripe fruit.,3,5,5,4,1,Unsatisfied
Banana,Taste was not good at all.,4,4,5,5,2,Unsatisfied
Watermelon,Overpriced and not worth it.,3,3,4,2,2,Unsatisfied
Guava,Amazing experience buying fruits here.,9,9,9,9,4,Satisfied
Apple,The fruit was fresh and delicious.,8,7,9,9,5,Satisfied
Pineapple,Impressed by the cleanliness and quality.,8,9,9,9,4,Satisfied
Strawberry,Overpriced and not worth it.,3,2,2,3,1,Unsatisfied
Grapes,Will not recommend this shop.,2,3,3,4,2,Unsatisfied
Papaya,Always fresh and reasonably priced.,8,8,9,7,4,Satisfied
Papaya,Taste was not good at all.,3,4,3,5,2,Unsatisfied
Guava,Bad service and unripe fruit.,1,4,2,4,1,Unsatisfied
Mango,Always fresh and reasonably priced.,8,7,8,8,4,Satisfied
Guava,Overpriced and not worth it.,1,5,1,5,2,Unsatisfied
Pineapple,Loved the taste and quality!,9,7,9,8,5,Satisfied
Orange,Impressed by the cleanliness and quality.,8,7,8,8,5,Satisfied
Orange,The fruit was not fresh.,3,4,1,5,1,Unsatisfied
Guava,Bad service and unripe fruit.,2,4,3,1,2,Unsatisfied
Apple,Quality and packaging were top-notch.,8,8,8,9,4,Satisfied
Guava,Will not recommend this shop.,4,3,4,1,1,Unsatisfied
Orange,Amazing experience buying fruits here.,9,8,9,7,4,Satisfied
Watermelon,Best fruit store I have visited.,8,8,9,7,4,Satisfied
Grapes,Very juicy and sweet fruit.,9,8,8,9,4,Satisfied
Grapes,Impressed by the cleanliness and quality.,9,8,9,8,5,Satisfied
Strawberry,Poor freshness and packaging.,1,2,1,2,1,Unsatisfied
Grapes,Taste was not good at all.,1,2,2,1,1,Unsatisfied
Watermelon,Poor freshness and packaging.,5,2,3,4,1,Unsatisfied
Strawberry,The fruit was not fresh.,1,4,5,4,2,Unsatisfied
Pineapple,Poor freshness and packaging.,4,1,4,3,2,Unsatisfied
Guava,Great service and price.,9,7,8,8,5,Satisfied
Pineapple,Overpriced and not worth it.,1,5,3,5,2,Unsatisfied
Pineapple,The fruit was not fresh.,3,4,2,4,1,Unsatisfied
Apple,Excellent freshness and timely delivery.,8,9,9,8,4,Satisfied
Banana,Best fruit store I have visited.,9,7,9,9,4,Satisfied
Papaya,Overpriced and not worth it.,3,3,4,5,1,Unsatisfied
Orange,Overpriced and not worth it.,2,1,4,3,2,Unsatisfied
Mango,Overpriced and not worth it.,4,4,4,2,2,Unsatisfied
Banana,Poor freshness and packaging.,5,5,1,2,2,Unsatisfied
Papaya,Excellent freshness and timely delivery.,8,8,8,8,5,Satisfied
Pineapple,Excellent freshness and timely delivery.,9,8,8,7,5,Satisfied
Mango,Poor freshness and packaging.,5,1,2,1,2,Unsatisfied
Banana,Too expensive for the quality provided.,5,4,3,1,2,Unsatisfied
Grapes,Very bad experience overall.,5,4,5,1,1,Unsatisfied
Grapes,Very juicy and sweet fruit.,9,7,8,8,5,Satisfied
Strawberry,Quality and packaging were top-notch.,8,7,9,8,5,Satisfied
Papaya,Very juicy and sweet fruit.,8,9,8,8,5,Satisfied
Strawberry,Quality and packaging were top-notch.,9,7,9,7,5,Satisfied
Strawberry,Excellent freshness and timely delivery.,8,9,9,9,5,Satisfied
Watermelon,The fruit was not fresh.,3,2,4,1,2,Unsatisfied
Guava,The fruit was not fresh.,5,2,4,2,1,Unsatisfied
Banana,Quality and packaging were top-notch.,8,7,8,9,4,Satisfied
Watermelon,Very bad experience overall.,4,4,3,1,1,Unsatisfied
Banana,Disappointed with the quality.,2,5,5,5,2,Unsatisfied
Papaya,Bad service and unripe fruit.,5,3,2,3,1,Unsatisfied
Guava,The fruit was fresh and delicious.,9,9,8,7,4,Satisfied
Guava,Delivery was delayed and fruits were spoiled.,3,3,2,4,1,Unsatisfied
Pineapple,Taste was not good at all.,3,4,5,5,1,Unsatisfied
Pineapple,Best fruit store I have visited.,8,9,9,9,5,Satisfied
Watermelon,Amazing experience buying fruits here.,8,7,8,7,5,Satisfied
Papaya,Delivery was delayed and fruits were spoiled.,5,3,1,4,2,Unsatisfied
Mango,Excellent freshness and timely delivery.,8,7,8,9,4,Satisfied
Watermelon,Will not recommend this shop.,2,1,1,5,2,Unsatisfied
Mango,Always fresh and reasonably priced.,8,8,8,8,5,Satisfied
Guava,Too expensive for the quality provided.,1,1,2,4,1,Unsatisfied
Strawberry,Very bad experience overall.,1,4,2,1,2,Unsatisfied
Orange,Too expensive for the quality provided.,1,3,5,3,1,Unsatisfied
Strawberry,Bad service and unripe fruit.,2,5,3,4,2,Unsatisfied
Grapes,Amazing experience buying fruits here.,8,9,8,9,5,Satisfied
Apple,Impressed by the cleanliness and quality.,8,9,8,7,5,Satisfied
Guava,Taste was not good at all.,1,2,3,2,2,Unsatisfied
Orange,Too expensive for the quality provided.,5,5,5,1,2,Unsatisfied
Apple,Very bad experience overall.,2,2,2,2,1,Unsatisfied
Watermelon,Very juicy and sweet fruit.,8,8,8,9,5,Satisfied
Orange,Too expensive for the quality provided.,5,2,1,3,1,Unsatisfied
Papaya,Poor freshness and packaging.,3,5,2,5,2,Unsatisfied
Strawberry,Overpriced and not worth it.,1,1,3,3,1,Unsatisfied
Pineapple,Always fresh and reasonably priced.,9,9,9,8,4,Satisfied
Pineapple,Quality and packaging were top-notch.,9,9,9,9,4,Satisfied
Apple,Too expensive for the quality provided.,3,4,3,4,1,Unsatisfied
Apple,Always fresh and reasonably priced.,9,7,8,8,4,Satisfied
Papaya,Quality and packaging were top-notch.,9,9,8,8,4,Satisfied
Pineapple,Will not recommend this shop.,4,4,3,4,1,Unsatisfied
Grapes,Very bad experience overall.,4,5,2,5,1,Unsatisfied
Apple,Always fresh and reasonably priced.,8,7,9,9,4,Satisfied
Guava,Too expensive for the quality provided.,3,3,5,3,2,Unsatisfied
Watermelon,Will not recommend this shop.,1,5,1,3,1,Unsatisfied
Watermelon,Bad service and unripe fruit.,4,2,3,3,2,Unsatisfied
Orange,Loved the taste and quality!,8,8,9,9,5,Satisfied
Apple,Best fruit store I have visited.,8,7,8,7,4,Satisfied
Pineapple,Poor freshness and packaging.,5,2,5,5,1,Unsatisfied
Papaya,Always fresh and reasonably priced.,8,7,9,7,5,Satisfied
Apple,Loved the taste and quality!,8,7,9,7,5,Satisfied
Guava,Delivery was delayed and fruits were spoiled.,2,1,3,1,1,Unsatisfied
Mango,Bad service and unripe fruit.,5,3,2,3,1,Unsatisfied
Banana,Disappointed with the quality.,5,3,1,3,2,Unsatisfied
Guava,Poor freshness and packaging.,1,4,5,5,1,Unsatisfied
Grapes,Great service and price.,9,7,9,7,4,Satisfied
Watermelon,Poor freshness and packaging.,1,4,3,2,1,Unsatisfied
Papaya,The fruit was not fresh.,2,5,3,3,1,Unsatisfied
Papaya,Bad service and unripe fruit.,3,1,1,2,1,Unsatisfied
Strawberry,Excellent freshness and timely delivery.,8,8,9,9,5,Satisfied
Papaya,The fruit was fresh and delicious.,9,7,8,7,5,Satisfied
Orange,Excellent freshness and timely delivery.,8,8,9,7,5,Satisfied
Watermelon,Disappointed with the quality.,3,2,2,1,2,Unsatisfied
Mango,Poor freshness and packaging.,2,4,4,5,1,Unsatisfied
Mango,Poor freshness and packaging.,4,1,5,1,2,Unsatisfied
Banana,Overpriced and not worth it.,4,1,3,1,2,Unsatisfied
Apple,Impressed by the cleanliness and quality.,8,9,8,9,5,Satisfied
Watermelon,Overpriced and not worth it.,2,5,5,4,2,Unsatisfied
Guava,Excellent freshness and timely delivery.,8,8,8,9,4,Satisfied
Apple,Quality and packaging were top-notch.,9,9,9,9,5,Satisfied
Guava,The fruit was fresh and delicious.,9,7,9,7,4,Satisfied
Mango,The fruit was not fresh.,3,5,5,2,1,Unsatisfied
Pineapple,Delivery was delayed and fruits were spoiled.,4,5,4,5,2,Unsatisfied
Banana,Quality and packaging were top-notch.,9,7,9,9,5,Satisfied
Pineapple,Best fruit store I have visited.,9,9,8,9,4,Satisfied
Strawberry,Delivery was delayed and fruits were spoiled.,5,2,3,5,1,Unsatisfied
Mango,Very juicy and sweet fruit.,8,7,8,8,5,Satisfied
Pineapple,Impressed by the cleanliness and quality.,9,9,8,7,5,Satisfied
Guava,Loved the taste and quality!,8,7,9,9,5,Satisfied
Mango,Too expensive for the quality provided.,2,3,2,3,2,Unsatisfied
Orange,Impressed by the cleanliness and quality.,8,8,9,7,4,Satisfied
Strawberry,Quality and packaging were top-notch.,9,9,9,9,5,Satisfied
Mango,Very bad experience overall.,1,4,1,4,1,Unsatisfied
Strawberry,Impressed by the cleanliness and quality.,8,9,9,7,4,Satisfied
Banana,Taste was not good at all.,4,3,1,1,2,Unsatisfied
Guava,The fruit was not fresh.,3,2,4,4,1,Unsatisfied
Guava,Quality and packaging were top-notch.,9,7,8,7,4,Satisfied
Banana,Loved the taste and quality!,8,9,9,8,5,Satisfied
Banana,The fruit was fresh and delicious.,8,8,9,8,4,Satisfied
Banana,Quality and packaging were top-notch.,9,7,9,7,4,Satisfied
Apple,Too expensive for the quality provided.,1,3,2,3,2,Unsatisfied
Guava,Bad service and unripe fruit.,2,4,3,3,2,Unsatisfied
Watermelon,Too expensive for the quality provided.,5,3,2,5,2,Unsatisfied
Orange,The fruit was not fresh.,3,3,4,3,1,Unsatisfied
Apple,The fruit was fresh and delicious.,8,7,8,7,4,Satisfied
Banana,Great service and price.,9,8,9,9,4,Satisfied
Banana,Loved the taste and quality!,8,8,8,9,4,Satisfied
Strawberry,Loved the taste and quality!,8,9,9,8,4,Satisfied
Strawberry,Great service and price.,9,9,8,9,4,Satisfied
Apple,Will not recommend this shop.,2,5,1,2,1,Unsatisfied
Pineapple,Amazing experience buying fruits here.,9,7,8,9,4,Satisfied
Watermelon,Delivery was delayed and fruits were spoiled.,1,3,5,3,2,Unsatisfied
Pineapple,Amazing experience buying fruits here.,8,8,8,8,4,Satisfied
Pineapple,Quality and packaging were top-notch.,9,7,8,9,4,Satisfied
Pineapple,Very juicy and sweet fruit.,8,9,9,8,5,Satisfied
Watermelon,Best fruit store I have visited.,9,8,8,9,5,Satisfied
Orange,Loved the taste and quality!,8,9,9,9,5,Satisfied
Guava,Delivery was delayed and fruits were spoiled.,3,5,1,2,2,Unsatisfied
Watermelon,Delivery was delayed and fruits were spoiled.,5,4,1,5,1,Unsatisfied
Mango,Very bad experience overall.,2,4,1,5,2,Unsatisfied
Watermelon,Bad service and unripe fruit.,2,5,5,1,2,Unsatisfied
Orange,Great service and price.,9,9,9,8,4,Satisfied
Grapes,Disappointed with the quality.,5,1,5,4,1,Unsatisfied
Watermelon,Best fruit store I have visited.,8,7,9,9,4,Satisfied
Apple,Impressed by the cleanliness and quality.,9,8,9,7,4,Satisfied
Guava,Impressed by the cleanliness and quality.,8,8,8,8,5,Satisfied
Strawberry,Will not recommend this shop.,5,2,1,1,1,Unsatisfied
Guava,Taste was not good at all.,5,4,3,1,1,Unsatisfied
Papaya,Poor freshness and packaging.,1,5,2,1,2,Unsatisfied
Banana,Overpriced and not worth it.,1,3,4,2,1,Unsatisfied
Strawberry,Amazing experience buying fruits here.,8,8,8,8,4,Satisfied
Strawberry,Too expensive for the quality provided.,2,1,1,1,2,Unsatisfied
Banana,Best fruit store I have visited.,9,7,9,9,4,Satisfied
Orange,Disappointed with the quality.,3,1,4,2,1,Unsatisfied
Mango,Very juicy and sweet fruit.,8,8,9,8,4,Satisfied
Apple,Poor freshness and packaging.,2,2,1,5,2,Unsatisfied
Grapes,Disappointed with the quality.,2,5,1,5,1,Unsatisfied
Papaya,Impressed by the cleanliness and quality.,8,7,9,7,4,Satisfied
Apple,Will not recommend this shop.,2,3,2,2,2,Unsatisfied
Apple,Delivery was delayed and fruits were spoiled.,4,3,2,2,1,Unsatisfied
Watermelon,Poor freshness and packaging.,2,1,4,1,2,Unsatisfied
Banana,Best fruit store I have visited.,9,9,8,7,5,Satisfied
Grapes,Excellent freshness and timely delivery.,9,7,8,9,5,Satisfied
Papaya,The fruit was not fresh.,2,3,3,4,2,Unsatisfied
Grapes,Very juicy and sweet fruit.,8,8,9,7,5,Satisfied
Banana,Best fruit store I have visited.,8,7,9,9,4,Satisfied
Strawberry,Impressed by the cleanliness and quality.,8,8,8,7,4,Satisfied
Orange,Excellent freshness and timely delivery.,9,9,9,8,4,Satisfied
Guava,Excellent freshness and timely delivery.,9,9,9,8,4,Satisfied
Guava,Excellent freshness and timely delivery.,8,7,9,8,4,Satisfied
Strawberry,Taste was not good at all.,2,2,1,1,1,Unsatisfied
Strawberry,Excellent freshness and timely delivery.,9,8,8,9,4,Satisfied
Strawberry,Delivery was delayed and fruits were spoiled.,1,4,2,3,2,Unsatisfied
Strawberry,Poor freshness and packaging.,5,1,4,5,1,Unsatisfied
Watermelon,Always fresh and reasonably priced.,9,7,8,9,4,Satisfied
Watermelon,The fruit was not fresh.,3,5,5,4,1,Unsatisfied
Guava,The fruit was fresh and delicious.,8,8,9,8,5,Satisfied
Strawberry,Poor freshness and packaging.,4,1,4,2,2,Unsatisfied
Orange,Amazing experience buying fruits here.,8,7,8,9,4,Satisfied
Watermelon,Great service and price.,8,7,8,9,5,Satisfied
Orange,Best fruit store I have visited.,9,7,9,8,5,Satisfied
Mango,The fruit was not fresh.,3,2,2,2,1,Unsatisfied
Orange,Overpriced and not worth it.,1,5,4,1,2,Unsatisfied
Pineapple,Very juicy and sweet fruit.,8,8,8,7,5,Satisfied
Mango,Best fruit store I have visited.,9,9,9,8,4,Satisfied
Grapes,Best fruit store I have visited.,8,9,8,8,4,Satisfied
Guava,Overpriced and not worth it.,4,3,2,1,1,Unsatisfied
Banana,Too expensive for the quality provided.,4,5,3,1,1,Unsatisfied
Papaya,Delivery was delayed and fruits were spoiled.,5,2,2,1,2,Unsatisfied
Banana,Impressed by the cleanliness and quality.,8,8,8,8,4,Satisfied
Pineapple,Too expensive for the quality provided.,2,3,3,5,2,Unsatisfied
Watermelon,Too expensive for the quality provided.,1,1,1,3,2,Unsatisfied
Watermelon,Overpriced and not worth it.,2,3,1,1,1,Unsatisfied
Pineapple,The fruit was fresh and delicious.,9,8,8,8,4,Satisfied
Strawberry,Impressed by the cleanliness and quality.,9,8,9,7,5,Satisfied
Strawberry,Excellent freshness and timely delivery.,9,7,8,8,4,Satisfied
Orange,The fruit was not fresh.,2,3,4,1,2,Unsatisfied
Banana,Great service and price.,8,8,8,7,5,Satisfied
Watermelon,Great service and price.,9,9,9,8,5,Satisfied
Grapes,Quality and packaging were top-notch.,8,8,8,7,4,Satisfied
Guava,The fruit was not fresh.,1,4,2,1,1,Unsatisfied
Apple,Always fresh and reasonably priced.,9,7,8,9,4,Satisfied
Watermelon,Excellent freshness and timely delivery.,9,7,8,8,5,Satisfied
Pineapple,Overpriced and not worth it.,1,1,5,1,2,Unsatisfied
Strawberry,The fruit was not fresh.,1,4,1,4,1,Unsatisfied
Banana,Bad service and unripe fruit.,1,5,2,2,1,Unsatisfied
Watermelon,Poor freshness and packaging.,5,5,2,5,2,Unsatisfied
Banana,The fruit was fresh and delicious.,9,7,8,8,5,Satisfied
Papaya,Taste was not good at all.,4,5,5,2,1,Unsatisfied
Orange,Bad service and unripe fruit.,1,1,5,4,2,Unsatisfied
Grapes,Loved the taste and quality!,8,9,8,7,4,Satisfied
Apple,Great service and price.,8,9,8,7,4,Satisfied
Banana,Very bad experience overall.,3,2,4,2,1,Unsatisfied
Pineapple,Delivery was delayed and fruits were spoiled.,2,2,4,1,2,Unsatisfied
Guava,Will not recommend this shop.,5,3,2,1,2,Unsatisfied
Papaya,Very bad experience overall.,3,1,4,1,2,Unsatisfied
Pineapple,Best fruit store I have visited.,8,9,8,9,4,Satisfied
Papaya,Bad service and unripe fruit.,2,3,4,4,1,Unsatisfied
Mango,Disappointed with the quality.,4,5,1,1,1,Unsatisfied
Apple,The fruit was not fresh.,2,2,5,4,2,Unsatisfied
Banana,Amazing experience buying fruits here.,9,9,8,8,4,Satisfied
Papaya,Delivery was delayed and fruits were spoiled.,2,2,1,2,1,Unsatisfied
Orange,Will not recommend this shop.,5,4,3,4,2,Unsatisfied
Watermelon,Bad service and unripe fruit.,5,2,3,2,2,Unsatisfied
Mango,Loved the taste and quality!,9,8,8,8,5,Satisfied
Pineapple,Excellent freshness and timely delivery.,8,7,9,8,5,Satisfied
Guava,Loved the taste and quality!,9,8,8,8,5,Satisfied
Guava,Bad service and unripe fruit.,1,5,1,4,2,Unsatisfied
Guava,Taste was not good at all.,4,4,3,3,1,Unsatisfied
Papaya,Amazing experience buying fruits here.,9,8,9,8,5,Satisfied
Apple,Too expensive for the quality provided.,3,2,4,5,2,Unsatisfied
Watermelon,Too expensive for the quality provided.,5,4,2,4,2,Unsatisfied
Orange,Too expensive for the quality provided.,3,5,3,3,2,Unsatisfied
Strawberry,Amazing experience buying fruits here.,9,9,8,9,4,Satisfied
Strawberry,Great service and price.,9,9,8,7,4,Satisfied
Strawberry,Always fresh and reasonably priced.,8,9,9,7,4,Satisfied
Watermelon,Amazing experience buying fruits here.,8,7,8,9,4,Satisfied
Mango,Poor freshness and packaging.,5,1,2,5,2,Unsatisfied
Watermelon,Quality and packaging were top-notch.,8,7,8,8,5,Satisfied
Apple,Disappointed with the quality.,2,5,3,2,2,Unsatisfied
Pineapple,Amazing experience buying fruits here.,9,9,9,8,4,Satisfied
Grapes,Amazing experience buying fruits here.,9,8,8,7,4,Satisfied
Papaya,Always fresh and reasonably priced.,9,9,8,7,5,Satisfied
Pineapple,Great service and price.,8,8,8,8,5,Satisfied
Apple,Excellent freshness and timely delivery.,8,8,8,8,4,Satisfied
Apple,Excellent freshness and timely delivery.,8,8,9,7,5,Satisfied
Grapes,Loved the taste and quality!,9,8,9,7,4,Satisfied
Watermelon,Disappointed with the quality.,3,1,4,1,2,Unsatisfied
Banana,Impressed by the cleanliness and quality.,9,8,8,7,5,Satisfied
Grapes,Poor freshness and packaging.,2,5,4,4,1,Unsatisfied
Orange,Very juicy and sweet fruit.,9,7,9,8,5,Satisfied
Grapes,Amazing experience buying fruits here.,8,8,8,8,5,Satisfied
Mango,Loved the taste and quality!,8,9,8,7,4,Satisfied
Strawberry,Loved the taste and quality!,9,8,9,8,4,Satisfied
Grapes,Quality and packaging were top-notch.,9,8,9,8,4,Satisfied
Pineapple,Bad service and unripe fruit.,2,1,3,2,2,Unsatisfied
Guava,Great service and price.,9,9,9,7,5,Satisfied
Mango,Overpriced and not worth it.,5,1,1,3,2,Unsatisfied
Watermelon,Impressed by the cleanliness and quality.,9,7,9,8,4,Satisfied
